gap_y,gap_height,time
0.44502430269815685,0.20027878830591375,2
0.30225855809067803,0.20086356592984184,4
0.2632984302705373,0.2862192007502949,6
0.20597687509194118,0.2142920729999481,8
0.49614543996319665,0.2990191418534859,10
0.45530516648327735,0.2623163945079642,12
0.7426334201183571,0.2329029819103811,14
0.782833311074429,0.22085020067016325,16
0.7027027684327272,0.29248361661421896,18
0.7346327688457519,0.22388974679457874,20
0.55605554400127,0.21286999630693704,22
0.23458216614562333,0.24591936300249825,24
0.5285513615377407,0.24882261182050955,26
0.39040491337046523,0.27857133023894637,28
0.2744897745045068,0.2765468011190205,30
0.41655150661610224,0.26327117972135494,32
0.4050084353122122,0.23195157830099844,34
0.2580510939839687,0.226366568097876,36
0.6596826045598456,0.24348643906651501,38
0.33246433100521133,0.21770773504454005,40
